"Category","Average Minimum Surface Air Temperature (°C)","Average Mean Surface Air Temperature (°C)","Average Maximum Surface Air Temperature (°C)","Precipitation (mm)"
"Jan",17.42,24.99,32.62,3.73
"Feb",20.11,27.52,34.98,8.29
"Mar",23.07,29.92,36.83,29.25
"Apr",24.48,30.61,36.8,66.81
"May",24.09,29.46,34.87,123.63
"Jun",23.14,27.89,32.69,164.74
"Jul",22.3,26.39,30.52,208.23
"Aug",21.78,25.69,29.65,234.5
"Sep",21.77,26.39,31.06,216.21
"Oct",21.62,27.26,32.96,109.47
"Nov",19.42,26.64,33.9,15.49
"Dec",17.48,25.13,32.83,3.82