"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,26.64,26.74
1902,26.82,26.76
1903,26.86,26.78
1904,26.81,26.8
1905,26.72,26.82
1906,27.06,26.84
1907,26.86,26.86
1908,26.81,26.88
1909,26.78,26.89
1910,26.86,26.91
1911,26.82,26.92
1912,26.91,26.92
1913,27.04,26.93
1914,27.24,26.93
1915,26.84,26.93
1916,26.82,26.92
1917,26.83,26.9
1918,26.82,26.88
1919,26.85,26.86
1920,26.86,26.83
1921,26.85,26.81
1922,26.84,26.8
1923,26.91,26.79
1924,26.87,26.8
1925,26.42,26.81
1926,27.03,26.84
1927,26.93,26.88
1928,26.74,26.93
1929,26.55,26.98
1930,27.47,27.05
1931,27.61,27.12
1932,27.18,27.19
1933,27.06,27.26
1934,27.3,27.32
1935,27.34,27.36
1936,26.97,27.4
1937,27.46,27.41
1938,27.71,27.4
1939,27.34,27.36
1940,26.87,27.29
1941,27.68,27.21
1942,27.35,27.12
1943,26.91,27.03
1944,26.99,26.96
1945,26.61,26.9
1946,26.77,26.86
1947,27,26.82
1948,26.51,26.78
1949,27.06,26.75
1950,26.52,26.7
1951,26.88,26.65
1952,26.58,26.6
1953,26.5,26.56
1954,26.52,26.54
1955,26.46,26.54
1956,26.51,26.56
1957,26.56,26.6
1958,26.86,26.63
1959,26.71,26.66
1960,26.79,26.67
1961,26.17,26.66
1962,26.62,26.63
1963,26.94,26.61
1964,26.65,26.6
1965,26.48,26.63
1966,26.78,26.69
1967,26.57,26.77
1968,26.77,26.86
1969,27.35,26.93
1970,26.9,26.96
1971,26.52,26.92
1972,26.9,26.83
1973,27.19,26.71
1974,26.34,26.58
1975,26.31,26.49
1976,26.45,26.45
1977,26.5,26.49
1978,26.61,26.59
1979,26.9,26.72
1980,26.92,26.86
1981,26.88,26.99
1982,26.96,27.08
1983,27.08,27.13
1984,27.31,27.14
1985,27.01,27.13
1986,27.04,27.09
1987,27.38,27.03
1988,26.86,26.95
1989,26.36,26.88
1990,27.18,26.82
1991,26.93,26.78
1992,26.56,26.78
1993,26.96,26.83
1994,26.73,26.91
1995,27.07,27
1996,27.14,27.1
1997,27.19,27.18
1998,27.5,27.23
1999,27.19,27.25
2000,26.95,27.26
2001,27.14,27.26
2002,27.32,27.27
2003,27.35,27.29
2004,27.41,27.33
2005,27.54,27.38
2006,27.47,27.44
2007,27.46,27.49
2008,27.1,27.54
2009,27.79,27.57
2010,27.91,27.59
2011,27.53,27.6
2012,27.36,27.59
2013,27.52,27.57
2014,27.63,27.55
2015,27.36,27.51
2016,27.77,27.48
2017,27.45,27.44
2018,27.46,27.42
2019,27.34,27.42
2020,27.41,27.43
2021,27.61,27.46
2022,27.07,27.49
2023,27.72,27.54
2024,27.65,27.59